t T
0 11.06
2 12.25
5 13.50
7 14.63
10 15.81
12 16.69
15 17.56
17 18.44
19 19.69
22 20.94
24 22.06
27 23.19
29 24.50
32 25.69
34 26.75
37 27.62
39 28.25
42 29.06
44 30.37
47 31.62
49 32.88
52 34.06
54 35.19
57 36.19
59 37.44
61 38.50
64 39.38
66 40.19
69 41.31
71 41.94
74 42.75
76 43.88
79 44.88
81 46.06
84 47.13
86 48.13
89 49.31
91 50.38
94 51.44
96 52.50
98 53.56
101 54.50
103 55.50
106 56.56
108 57.63
111 58.75
113 60.00
116 61.31
118 62.31
121 63.13
123 64.19
126 65.12
128 66.19
131 67.31
133 68.50
136 69.69
138 70.81
140 71.56
143 72.44
145 73.56
148 74.69
150 76.00
153 77.00
155 77.81
158 78.87
160 79.87
163 81.00
165 82.06
168 83.12
170 84.19
173 85.12
175 86.19
178 87.37
180 88.50
183 89.50
185 90.50
187 91.50
190 92.37
192 93.25
195 94.06
197 94.81
200 95.50
202 96.00
